Datetime,Open,High,Low,Close,% Change,Volume
2024-02-29 11:30:00,199.66,200.42,198.45,199.57,-0.04%,10060500
2024-02-29 12:30:00,199.57,200.87,199.51,200.61,0.52%,6074078
2024-02-29 13:30:00,200.62,201.06,199.83,200.05,-0.28%,6668995
2024-02-29 14:30:00,200.05,201.25,199.99,200.86,0.41%,5775801
2024-02-29 15:30:00,200.87,202.19,200.74,201.75,0.44%,6496202
2024-03-01 09:30:00,200.25,201.46,198.5,199.56,-0.35%,17090289
2024-03-01 10:30:00,199.56,200.97,198.91,200.86,0.65%,17865566
2024-03-01 11:30:00,200.87,202.68,200.52,202.45,0.79%,11235160
2024-03-01 12:30:00,202.46,204.43,202.17,204.27,0.89%,10961678
2024-03-01 13:30:00,204.28,204.52,203.02,203.58,-0.34%,9969421
2024-03-01 14:30:00,203.57,203.8,202.47,203.33,-0.12%,8269849
2024-03-01 15:30:00,203.32,203.39,202.51,202.7,-0.30%,5299727
2024-03-04 09:30:00,199.23,199.75,191.81,192.07,-3.60%,34943494
2024-03-04 10:30:00,192.08,192.5,190.13,190.56,-0.79%,16881199
2024-03-04 11:30:00,190.55,190.72,188.73,189.16,-0.73%,13071554
2024-03-04 12:30:00,189.15,189.38,186.84,187.35,-0.95%,13521637
2024-03-04 13:30:00,187.36,187.71,186.72,187.23,-0.07%,9215318
2024-03-04 14:30:00,187.25,190.11,187.14,189.99,1.46%,11744522
2024-03-04 15:30:00,190.01,190.14,188.13,188.13,-0.99%,42833382
2024-03-05 09:30:00,182.0,184.59,178.77,178.9,-1.70%,40668381
2024-03-05 10:30:00,178.87,180.0,177.57,178.31,-0.31%,20136380
2024-03-05 11:30:00,178.32,181.29,178.23,181.24,1.64%,9315901
2024-03-05 12:30:00,181.25,181.77,180.11,180.65,-0.33%,7820470
2024-03-05 13:30:00,180.64,181.9,180.5,180.9,0.14%,7734700
2024-03-05 14:30:00,180.9,180.93,179.27,180.28,-0.34%,7815241
2024-03-05 15:30:00,180.27,181.09,179.88,180.8,0.29%,37491177
2024-03-06 09:30:00,179.63,180.96,173.7,176.4,-1.80%,36708131
2024-03-06 10:30:00,176.38,178.14,176.28,176.62,0.14%,14904698
2024-03-06 11:30:00,176.61,178.99,176.06,178.66,1.16%,8085199
2024-03-06 12:30:00,178.67,179.99,178.07,179.88,0.68%,6509836
2024-03-06 13:30:00,179.9,180.05,176.31,177.07,-1.57%,9773182
2024-03-06 14:30:00,177.09,178.12,176.46,177.22,0.07%,7355574
2024-03-06 15:30:00,177.23,177.24,176.19,176.5,-0.41%,33837205
2024-03-07 09:30:00,174.35,179.78,173.7,175.92,0.90%,33558359
2024-03-07 10:30:00,175.93,179.2,175.25,177.38,0.83%,17544622
2024-03-07 11:30:00,177.38,177.51,176.0,176.89,-0.28%,11527795
2024-03-07 12:30:00,176.87,179.11,176.86,179.0,1.20%,8941373
2024-03-07 13:30:00,179.01,179.81,178.21,179.4,0.22%,11084017
2024-03-07 14:30:00,179.4,180.04,178.76,179.02,-0.21%,9710087
2024-03-07 15:30:00,179.01,179.67,178.49,178.57,-0.25%,6176931
2024-03-08 09:30:00,181.5,182.73,177.7,179.01,-1.37%,25953205
2024-03-08 10:30:00,179.04,179.23,174.77,175.06,-2.22%,18238810
2024-03-08 11:30:00,175.07,176.82,174.7,176.25,0.67%,10327639
2024-03-08 12:30:00,176.27,176.34,175.15,176.07,-0.11%,6612918
2024-03-08 13:30:00,176.05,176.24,174.9,175.48,-0.32%,7025625
2024-03-08 14:30:00,175.47,176.8,175.47,175.6,0.07%,7754498
2024-03-08 15:30:00,175.61,176.18,175.04,175.34,-0.15%,6098503
2024-03-11 09:30:00,175.0,182.87,174.81,179.88,2.79%,32669310
2024-03-11 10:30:00,179.89,180.6,177.85,177.88,-1.11%,12522286
2024-03-11 11:30:00,177.89,178.95,177.11,178.51,0.35%,9932855
2024-03-11 12:30:00,178.52,179.09,177.9,178.91,0.22%,7810491
2024-03-11 13:30:00,178.92,179.58,178.5,179.1,0.10%,6280246
2024-03-11 14:30:00,179.11,179.13,176.69,176.73,-1.33%,6814192
2024-03-11 15:30:00,176.75,177.9,176.52,177.83,0.61%,6912466
2024-03-12 09:30:00,177.77,177.96,172.41,175.3,-1.39%,31864939
2024-03-12 10:30:00,175.3,178.78,174.84,178.55,1.85%,15417467
2024-03-12 11:30:00,178.57,179.08,176.76,178.11,-0.26%,11641514
2024-03-12 12:30:00,178.11,178.2,176.83,178.1,0.00%,7815653
2024-03-12 13:30:00,178.12,178.84,177.8,178.83,0.40%,5513335
2024-03-12 14:30:00,178.83,179.43,178.51,179.05,0.13%,6246539
2024-03-12 15:30:00,179.07,179.09,177.32,177.48,-0.89%,5377583
2024-03-13 09:30:00,173.05,176.05,171.71,172.36,-0.40%,30933107
2024-03-13 10:30:00,172.37,172.96,170.6,172.71,0.19%,19034874
2024-03-13 11:30:00,172.72,173.16,171.38,171.82,-0.52%,9543274
2024-03-13 12:30:00,171.81,172.05,170.85,171.75,-0.03%,8171301
2024-03-13 13:30:00,171.76,172.03,170.11,170.17,-0.93%,10034444
2024-03-13 14:30:00,170.16,171.04,169.29,169.56,-0.35%,11946926
2024-03-13 15:30:00,169.57,170.12,169.15,169.49,-0.05%,8498560
2024-03-14 09:30:00,167.77,171.17,165.0,166.05,-1.03%,34625098
2024-03-14 10:30:00,166.0,166.84,163.31,163.35,-1.60%,18732752
2024-03-14 11:30:00,163.36,163.86,161.88,162.59,-0.47%,19076589
2024-03-14 12:30:00,162.6,163.75,162.07,162.1,-0.31%,11238904
2024-03-14 13:30:00,162.08,163.54,161.68,162.36,0.17%,10254002
2024-03-14 14:30:00,162.37,162.55,160.51,161.14,-0.76%,14676599
2024-03-14 15:30:00,161.15,162.68,160.63,162.48,0.83%,10201732
2024-03-15 09:30:00,163.14,165.18,161.11,162.92,-0.13%,23558989
2024-03-15 10:30:00,162.95,164.15,162.36,163.6,0.40%,9254816
2024-03-15 11:30:00,163.57,163.66,161.33,161.83,-1.06%,21537250
2024-03-15 12:30:00,161.83,162.19,160.76,161.96,0.08%,6121071
2024-03-15 13:30:00,161.95,163.27,161.91,162.66,0.44%,24896388
2024-03-15 14:30:00,162.66,163.89,162.57,163.19,0.33%,6725803
2024-03-15 15:30:00,163.18,163.78,162.71,163.59,0.25%,5018726
2024-03-18 09:30:00,170.16,171.21,165.9,171.15,0.58%,32756011
2024-03-18 10:30:00,171.15,174.72,171.0,173.68,1.48%,24876880
2024-03-18 11:30:00,173.67,174.1,172.48,172.81,-0.50%,12296519
2024-03-18 12:30:00,172.8,173.72,171.95,172.82,0.01%,9137977
2024-03-18 13:30:00,172.84,174.2,172.03,174.16,0.76%,8102949
2024-03-18 14:30:00,174.16,174.23,173.22,174.15,-0.01%,7790200
2024-03-18 15:30:00,174.15,174.41,173.33,173.94,-0.12%,7588624
2024-03-19 09:30:00,172.23,172.82,167.42,169.36,-1.67%,29584317
2024-03-19 10:30:00,169.36,171.84,168.85,171.76,1.42%,12597093
2024-03-19 11:30:00,171.76,172.33,171.0,171.94,0.10%,8166526
