security,ticker,McapRank,TurnRank,VolatilityRank,PriceRank,LitVol,OrderVol,Hidden,TradesForHidden,HiddenVol,TradeVolForHidden,Cancels,LitTrades,OddLots,TradesForOddLots,OddLotVol,TradeVolForOddLots,Cancel_to_Trade,Trade_to_Order_Volume,Hidden_Rate,Hidden_Volume,Oddlot_Rate,Oddlot_Volume,date,qtr
Stock,MSFT,10,7,2,10,17931.144,389191.194,56721,389992,3164.823,21095.967,4514683,330063,281184,386583,6767.039,20829.062,13.67824627,4.6072841,14.5441445,15.00202859,72.73573851,32.48844811,27/4/2023,30/6/2023
Stock,MSFT,10,5,2,10,12802.852,379676.671,38555,295799,1776.359,14579.211,5641022,256786,227187,295321,5023.231,14550.18,21.96779419,3.372040733,13.03418876,12.18419159,76.92883337,34.5234973,28/4/2023,30/6/2023
Stock,MSFT,10,4,2,10,6804.664,316995.91,21357,167450,942.529,7747.193,4474512,145563,130108,166877,2815.057,7724.826,30.73934997,2.1466094,12.754255,12.16607099,77.9664064,36.44168814,1/5/2023,30/6/2023
Stock,MSFT,10,4,1,10,9148.522,377946.557,31150,238919,1328.297,10476.819,4370423,206371,192368,237436,3995.44,10309.732,21.17750556,2.420586147,13.0378915,12.67843799,81.01888509,38.75406267,2/5/2023,30/6/2023
Stock,MSFT,10,3,1,10,7512.924,417207.129,29663,204559,1243.083,8756.007,5545650,174256,164345,203837,3358.373,8726.541,31.82472913,1.800765969,14.50095083,14.19691647,80.62569602,38.48458398,3/5/2023,30/6/2023
Stock,MSFT,10,3,1,10,8043.466,547963.283,21772,176191,1529.639,9573.105,5917053,153378,130111,175118,2996.672,9476.575,38.57823808,1.467884117,12.35704434,15.97850436,74.29904407,31.62188871,4/5/2023,30/6/2023
Stock,MSFT,10,4,1,10,9447.225,307580.525,32662,219763,1571.757,11018.982,3886569,186270,167129,218866,3782.409,10961.997,20.865244,3.071463969,14.86237447,14.26408538,76.36133525,34.50474398,5/5/2023,30/6/2023
Stock,MSFT,10,4,1,10,8129.858,256578.752,25410,188729,1204.247,9334.105,3799335,162799,143267,188181,3115.779,9300.51,23.33758193,3.168562454,13.46374961,12.90157974,76.13255323,33.50116284,8/5/2023,30/6/2023
Stock,MSFT,10,4,2,10,6572.714,234245.119,23726,166962,1591.014,8163.728,2929072,142612,130404,166308,2727.204,8143.365,20.53874849,2.805912895,14.21041914,19.48881687,78.41114078,33.48989024,9/5/2023,30/6/2023
Stock,MSFT,10,4,2,10,10190.483,364871.147,31484,238813,1761.937,11952.42,4513929,206038,182469,237447,3908.15,11832.04,21.90823537,2.792899105,13.18353691,14.74125742,76.84620147,33.03022978,10/5/2023,30/6/2023
Stock,MSFT,10,5,2,10,9316.301,356739.739,32106,222488,1845.898,11162.199,4095339,189082,170059,221150,3780.617,11036.004,21.65906326,2.611511974,14.43044119,16.53704615,76.89758083,34.25711879,11/5/2023,30/6/2023
Stock,MSFT,10,4,1,10,7255.463,318393.874,22244,175821,1478.12,8733.583,3920009,152928,137265,175118,2974.773,8708.027,25.63303646,2.27876966,12.65150352,16.92455433,78.38428945,34.16127442,12/5/2023,30/6/2023
Stock,MSFT,10,3,2,10,5180.473,248336.549,21097,140662,910.562,6091.035,3162590,119275,113037,140347,2261.665,6077.277,26.51511214,2.086069498,14.99836488,14.94921635,80.54108745,37.21510473,15/5/2023,30/6/2023
Stock,MSFT,10,4,2,10,8675.018,334289.908,28411,193417,1393.607,10068.625,3821659,164221,144046,192614,3266.057,10028.742,23.2714391,2.595058299,14.68898804,13.84108555,74.78480277,32.56696603,16/5/2023,30/6/2023
Stock,MSFT,10,4,1,10,7061.473,267285.821,24923,173894,1435.498,8496.971,3280659,148589,134868,173488,2892.162,8483.403,22.07874742,2.641918293,14.33229439,16.89423207,77.73909435,34.09200294,17/5/2023,30/6/2023
Stock,MSFT,10,4,1,10,9844.44,354977.338,31381,234014,1737.226,11581.666,4283227,201846,178891,233173,4022.651,11532.677,21.22027189,2.773258726,13.40988146,14.99979364,76.72028923,34.88046184,18/5/2023,30/6/2023
Stock,MSFT,10,4,1,10,7531.104,472942.507,25365,185667,1525.256,9056.36,5050875,159458,143605,184798,3002.768,8983.353,31.67526872,1.592393132,13.66155537,16.84182166,77.70917434,33.42591569,19/5/2023,30/6/2023
Stock,MSFT,10,4,1,10,7177.507,301179.54,27440,181909,1224.02,8401.527,3491497,153511,144785,180881,2912.841,8319.573,22.74427891,2.383132334,15.08446531,14.56901823,80.04433854,35.01190506,22/5/2023,30/6/2023
Stock,MSFT,10,4,2,10,9983.668,346332.618,37516,252083,1650.322,11633.99,4242689,212704,197103,250024,4085.248,11458.693,19.94644671,2.882681989,14.88239984,14.18534828,78.83363197,35.65195437,23/5/2023,30/6/2023
Stock,MSFT,10,4,1,10,7795.95,340340.813,28853,194279,1162.338,8958.288,4098420,164632,151424,193463,3167.864,8915.556,24.89443122,2.290630363,14.85132207,12.97500147,78.27026357,35.53187261,24/5/2023,30/6/2023
Stock,MSFT,10,6,2,10,13237.531,482887.899,45899,306466,2765.735,16003.266,5955636,259030,226514,304850,5120.533,15902.865,22.99207042,2.741325891,14.9768653,17.282316,74.30342792,32.1988082,25/5/2023,30/6/2023
Stock,MSFT,10,6,1,10,13801.147,405379.358,42374,302525,2592.946,16394.093,4823803,259104,222582,301403,5014.773,16288.973,18.61724636,3.404501667,14.0067763,15.81634312,73.84863455,30.78630556,26/5/2023,30/6/2023
